指标编号,管理分类,子项名字,子项,字段,字段类型,英文名称（indicator_name）,单位,备注
KPI-windows-ALL-78,内存性能,缓存信息,,每秒硬错误访问页数,指标,PagesPersec,包/秒,
KPI-windows-ALL-79,内存性能,缓存信息,,每秒页面错误数,指标,PageFaultsPersec,个/秒,
KPI-windows-ALL-154,内存性能,缓存信息,,页面读取/秒,指标,,,
KPI-windows-ALL-80,内存性能,虚拟内存,,虚拟内存总空间,指标,OSSwapInfo_Total,MB,
KPI-windows-ALL-81,内存性能,虚拟内存,,虚拟内存已用空间,指标,OSSwapInfo_Used,MB,
KPI-windows-ALL-82,内存性能,虚拟内存,,虚拟内存可用空间,指标,OSSwapInfo_Free,MB,
KPI-windows-ALL-83,内存性能,虚拟内存,,虚拟内存使用率,指标,OSSwapInfo_UsedRatio,%,
KPI-windows-ALL-93,分区信息,统计信息,,所有分区总容量,指标,Storage_Total,MB,
KPI-windows-ALL-94,分区信息,统计信息,,所有分区使用量,指标,Storage_Used,MB,
KPI-windows-ALL-95,分区信息,统计信息,,所有分区使用率,指标,Storage_UsedRatio,%,
KPI-windows-ALL-96,分区信息,统计信息,,所有分区使用昨日增长量,指标,Storage_Used__Yesterday_Increment,MB,
KPI-windows-ALL-97,分区信息,统计信息,,所有分区使用昨日增长率,指标,Storage_Used__Yesterday_Rate,%,
KPI-windows-ALL-98,分区信息,统计信息,,所有分区使用周增长量,指标,Storage_Used__Week_Increment,MB,
KPI-windows-ALL-99,分区信息,统计信息,,所有分区使用周增长率,指标,Storage_Used__Week_Rate,%,
KPI-windows-ALL-100,分区信息,具体分区,WinDisk,分区名（key）,静态属性,name,,
KPI-windows-ALL-101,分区信息,具体分区,WinDisk,分区容量,指标,Total,MB,
KPI-windows-ALL-102,分区信息,具体分区,WinDisk,分区可用空间,指标,Free,MB,
KPI-windows-ALL-103,分区信息,具体分区,WinDisk,分区使用率,指标,UsedPer,%,
KPI-windows-ALL-104,分区信息,具体分区,WinDisk,分区已用空间,指标,Used,MB,
KPI-windows-ALL-105,IO信息,逻辑磁盘,WinDiskIO,分区名（key）,静态属性,name,,
KPI-windows-ALL-106,IO信息,逻辑磁盘,WinDiskIO,当前队列长度,指标,CurrentQueueLength,,
KPI-windows-ALL-107,IO信息,逻辑磁盘,WinDiskIO,繁忙率,指标,DiskTime,%,
KPI-windows-ALL-108,IO信息,物理磁盘,WinHphysicsDiskInfo,磁盘标识（key）,静态属性,name,,
KPI-windows-ALL-109,IO信息,物理磁盘,WinHphysicsDiskInfo,当前队列长度,指标,CurrentDiskQueueLength,,
KPI-windows-ALL-110,IO信息,物理磁盘,WinHphysicsDiskInfo,繁忙率,指标,PercentDiskTime,%,
KPI-windows-ALL-111,IO信息,物理磁盘,WinHphysicsDiskInfo,读写平均占用时间,指标,AvgDisksecPerTransfer,s,
KPI-windows-ALL-112,IO信息,物理磁盘,WinHphysicsDiskInfo,读速率,指标,DiskReadBytesPersec,Bytes/s,
KPI-windows-ALL-113,IO信息,物理磁盘,WinHphysicsDiskInfo,写速率,指标,DiskWriteBytesPersec,Bytes/s,
KPI-windows-ALL-114,IO信息,物理磁盘,WinHphysicsDiskInfo,读写速率,指标,DiskBytesPersec,Bytes/s,
KPI-windows-ALL-115,网络信息,端口信息,WinInterface,端口索引（key）,静态属性,id,,
KPI-windows-ALL-116,网络信息,端口信息,WinInterface,端口名称（key）,静态属性,name,,
KPI-windows-ALL-117,网络信息,端口信息,WinInterface,端口类型名,静态属性,ifIANAName,,
KPI-windows-ALL-118,网络信息,端口信息,WinInterface,带宽速率,指标,ifSpeed,bps,
KPI-windows-ALL-119,网络信息,端口信息,WinInterface,连接状态,指标,ifStatusName,,返回值：DOWN/UP/DORMANT/UNKNOWN
KPI-windows-ALL-120,网络信息,端口信息,WinInterface,入流量,指标,ifInOctets,Kbps,
KPI-windows-ALL-121,网络信息,端口信息,WinInterface,出流量,指标,ifOutOctets,Kbps,
KPI-windows-ALL-122,网络信息,端口信息,WinInterface,总流量,指标,ifOctets,Kbps,
