KPI-SQLserver-all-80,,运行信息,磁盘空间MSSQLDiskSpase,,所在分区,JSON,location,,
KPI-SQLserver-all-83,,作业,作业MSSQLWork,,作业名称,JSON,Name,,
KPI-SQLserver-all-84,,作业,作业MSSQLWork,,当前状态,JSON,RunStatus, ,
KPI-SQLserver-all-85,,作业,作业MSSQLWork,,最后运行状态,JSON,LastRunOutcome, ,
KPI-SQLserver-all-86,,作业,作业MSSQLWork,,数据库名称,JSON,DatabaseName, ,
KPI-SQLserver-all-87,,作业,作业MSSQLWork,,开始时间,JSON,StartExecutionDate, ,
KPI-SQLserver-all-88,,作业,作业MSSQLWork,,结束时间,JSON,StopExecutionDate, ,
KPI-SQLserver-all-89,,作业,作业MSSQLWork,,执行时长,JSON,LastRunDuration,s,
KPI-SQLserver-all-90,,错误日志,日志信息MSSQLErrorLog,,日期,JSON,LogDate,,
KPI-SQLserver-all-91,,错误日志,日志信息MSSQLErrorLog,,来源,JSON,ProcessInfo,,
KPI-SQLserver-all-92,,错误日志,日志信息MSSQLErrorLog,,消息,JSON,Text,,
KPI-SQLserver-all-93,,其他,数据文件日增量,,数据文件日增量,指标,DBFilesSize__Yesterday_Increment,MB,
KPI-SQLserver-all-95,,其他,警报信息MSSQLAlert,,事件源,JSON,EventSource,,
KPI-SQLserver-all-96,,其他,警报信息MSSQLAlert,,警报的严重程度,JSON,Severity,,
KPI-SQLserver-all-97,,其他,警报信息MSSQLAlert,,警报的上次发生日期,JSON,LODate,,
KPI-SQLserver-all-98,,其他,警报信息MSSQLAlert,,警报的上次发生时间,JSON,LOTime,,
KPI-SQLserver-all-99,,其他,警报信息MSSQLAlert,,警报的上次提示日期,JSON,LRDate,,
KPI-SQLserver-all-100,,其他,警报信息MSSQLAlert,,警报的上次提示时间,JSON,LRTime,,
KPI-SQLserver-all-101,,其他,警报信息MSSQLAlert,,该警报的发生计数,JSON,Occ_Count,,
KPI-SQLserver-all-102,,其他,,,最近5分钟是否后台告警,指标,MSSQLAlert__AlarmValue,,
