KPI-Sybase-all-76,,进程,数据库空间信息,,数据库名称,指标,DBName,,
KPI-Sybase-all-77,,进程,数据库空间信息,,数据空间大小,指标,DataSize,MB,
KPI-Sybase-all-78,,进程,数据库空间信息,,空闲数据空间大小,指标,FreeDataSize,MB,
KPI-Sybase-all-79,,进程,数据库空间信息,,数据空间使用率,指标,UsedRatio,%,
KPI-Sybase-all-80,,进程,数据库空间信息,,日志空间大小,指标,LogSize,MB,
KPI-Sybase-all-81,,进程,数据库空间信息,,空闲日志空间大小,指标,FreeLogSize,MB,
KPI-Sybase-all-82,,进程,数据库空间信息,,日志空间使用率,指标,LogUsedRatio,%,
KPI-Sybase-all-95,,进程,数据文件日增量,,数据文件日增量,指标,Reserve__Yesterday_Increment,MB,
,,作业,作业历史记录,SyBaseJobHistory,作用历史ID(key),静态属性,id,,
KPI-Sybase-all-107,,作业,作业历史记录,SyBaseJobHistory,开始时间,指标,StartTime,,
KPI-Sybase-all-108,,作业,作业历史记录,SyBaseJobHistory,作业名,指标,JobName,,
KPI-Sybase-all-109,,作业,作业历史记录,SyBaseJobHistory,日程表名,指标,ScheduleName,,
KPI-Sybase-all-110,,作业,作业历史记录,SyBaseJobHistory,服务器,指标,Server,,
KPI-Sybase-all-111,,作业,作业历史记录,SyBaseJobHistory,结束时间,指标,EndTime,,
KPI-Sybase-all-112,,作业,作业历史记录,SyBaseJobHistory,状态,指标,State,,
KPI-Sybase-all-113,,作业,作业历史记录,SyBaseJobHistory,结果,指标,ShortMessage,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
