1	03046	07	08	10	11	17	26	11	79	13.17	29	3	3	0	1	1	2	4	-2	5	7	2	2	19	9	1	2	1
1	03047	03	17	26	28	32	33	16	139	23.17	29	3	3	0	1	2	5	1	4	5	10	1	1	30	14	0	2	0
1	03048	10	12	20	28	30	31	09	131	21.83	11	1	5	-4	0	4	4	2	2	4	6	1	1	21	8	1	1	1
1	03049	03	06	07	13	24	25	15	78	13.00	28	4	2	2	1	0	2	4	-2	5	8	2	2	22	11	0	0	1
1	03050	02	08	17	23	24	26	13	100	16.67	30	2	4	-2	1	2	4	2	2	6	7	1	1	24	9	1	1	5
1	03051	04	13	15	17	24	27	01	100	16.67	30	4	2	2	2	0	3	3	0	4	7	0	0	23	9	1	2	2
1	03052	01	12	13	23	30	31	11	110	18.33	10	4	2	2	1	0	3	3	0	4	7	2	2	30	11	0	1	2
1	03053	15	19	20	21	28	29	13	132	22.00	32	4	2	2	1	0	5	1	4	5	6	3	2	14	7	0	0	1
1	03054	02	05	09	21	31	33	12	101	16.83	21	5	1	4	4	0	3	3	0	5	9	0	0	31	12	1	1	1
1	03055	06	13	16	21	28	31	16	115	19.17	25	3	3	0	0	0	3	3	0	4	5	0	0	25	7	1	2	1
1	03056	08	17	21	26	28	29	07	129	21.50	39	3	3	0	1	1	5	1	4	5	9	1	1	21	9	1	2	2
1	03057	18	19	24	25	30	31	16	147	24.50	27	3	3	0	0	0	6	0	6	6	2	3	3	13	5	0	0	3
1	03058	09	11	16	28	32	33	02	129	21.50	29	3	3	0	1	2	3	3	0	6	8	1	1	24	12	0	0	1
1	03059	02	03	05	06	18	30	04	64	10.67	24	2	4	-2	1	2	2	4	-2	6	7	2	2	28	12	0	0	0
1	03060	02	04	06	17	21	28	11	78	13.00	28	2	4	-2	1	2	3	3	0	6	6	0	0	26	11	1	2	4
1	03061	03	05	20	21	28	32	02	109	18.17	19	3	3	0	1	1	4	2	2	6	10	1	1	29	15	0	2	3
1	03062	01	06	12	19	20	32	14	90	15.00	20	2	4	-2	0	2	3	3	0	5	9	1	1	31	12	1	2	3
1	03063	05	08	09	14	21	33	11	90	15.00	30	4	2	2	1	0	2	4	-2	6	9	1	1	28	12	0	0	3
1	03064	04	06	08	12	15	30	01	75	12.50	25	1	5	-4	0	3	1	5	-4	6	8	0	0	26	15	0	1	4
1	03065	06	15	16	17	30	33	11	117	19.50	27	3	3	0	0	0	3	3	0	5	9	2	1	27	13	0	3	1
1	03066	03	07	08	20	24	32	14	94	15.67	24	2	4	-2	1	3	3	3	0	6	7	1	1	29	12	0	0	2
1	03067	05	11	12	13	27	31	10	99	16.50	19	5	1	4	3	0	2	4	-2	5	9	2	1	26	14	0	0	1
1	03068	09	19	25	27	32	33	11	145	24.17	35	5	1	4	3	0	5	1	4	5	8	1	1	24	10	0	1	1
1	03069	07	11	16	19	26	28	11	107	17.83	37	3	3	0	1	1	3	3	0	5	8	0	0	21	7	0	1	2
1	03070	01	02	04	17	18	19	08	61	10.17	31	3	3	0	0	1	3	3	0	6	4	3	2	18	13	0	1	2
1	03071	09	11	12	14	15	33	11	94	15.67	24	4	2	2	2	1	1	5	-4	6	6	2	2	24	18	0	0	0
1	03072	03	06	08	11	19	27	11	74	12.33	34	4	2	2	2	1	2	4	-2	6	5	0	0	24	8	0	1	2
1	03073	02	12	14	21	23	30	13	102	17.00	12	2	4	-2	1	2	3	3	0	5	6	0	0	28	10	0	0	2
1	03074	02	12	19	22	27	32	01	114	19.00	24	2	4	-2	0	1	4	2	2	3	6	0	0	30	10	2	2	1
1	03075	16	17	19	22	31	33	11	138	23.00	28	4	2	2	2	0	5	1	4	6	7	1	1	17	9	2	2	2
1	03076	01	13	16	18	20	29	02	97	16.17	27	3	3	0	1	2	3	3	0	6	9	0	0	28	12	0	1	3
1	03077	04	12	16	22	24	25	06	103	17.17	23	1	5	-4	0	4	3	3	0	4	8	1	1	21	8	1	1	1
1	03078	07	12	23	26	29	30	11	127	21.17	27	3	3	0	0	0	4	2	2	6	9	1	1	23	11	1	1	2
1	03079	12	15	22	23	26	31	04	129	21.50	19	3	3	0	0	0	4	2	2	5	7	1	1	19	7	0	3	2
1	03080	09	20	24	25	28	30	10	136	22.67	26	2	4	-2	0	2	5	1	4	5	8	1	1	21	11	0	0	3
1	03081	01	02	14	26	29	30	07	102	17.00	22	2	4	-2	0	2	3	3	0	6	7	2	2	29	12	1	1	2
1	03082	07	17	18	19	30	31	14	122	20.33	32	4	2	2	1	0	5	1	4	5	4	3	2	24	11	0	1	2
1	03083	01	03	14	18	26	28	01	90	15.00	30	2	4	-2	1	3	3	3	0	5	8	0	0	27	11	0	1	1
1	03084	02	06	07	10	17	33	03	75	12.50	25	3	3	0	1	1	2	4	-2	5	9	1	1	31	16	0	0	2
1	03085	01	04	11	12	19	27	14	74	12.33	24	4	2	2	1	0	2	4	-2	5	6	1	1	26	8	0	0	2
